2026-03-22 00:18:27 [background-preinit] [] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2026-03-22 00:18:27 [Test worker] [] INFO  c.e.a.controller.TaskControllerTest - Starting TaskControllerTest using Java 21.0.10 with PID 72836 (started by yugo in /Users/yugo/Desktop/api-practice)
2026-03-22 00:18:27 [Test worker] [] INFO  c.e.a.controller.TaskControllerTest - No active profile set, falling back to 1 default profile: "default"
2026-03-22 00:18:45 [Test worker] [] WARN  o.s.b.a.s.s.UserDetailsServiceAutoConfiguration - 

Using generated security password: c1ee13cd-697a-457e-ade8-87b7bcc9bfaa

This generated password is for development use only. Your security configuration must be updated before running your application in production.

2026-03-22 00:18:47 [Test worker] [] INFO  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with UserDetailsService bean with name inMemoryUserDetailsManager
2026-03-22 00:18:49 [Test worker] [] INFO  o.s.b.t.m.w.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
2026-03-22 00:18:49 [Test worker] [] INFO  o.s.t.w.s.TestDispatcherServlet - Initializing Servlet ''
2026-03-22 00:18:49 [Test worker] [] INFO  o.s.t.w.s.TestDispatcherServlet - Completed initialization in 10 ms
2026-03-22 00:18:50 [Test worker] [] INFO  c.e.a.controller.TaskControllerTest - Started TaskControllerTest in 24.38 seconds (process running for 29.764)
2026-03-22 00:18:51 [Test worker] [] WARN  c.e.a.e.GlobalExceptionHandler - Validation error: タイトルは必須です
2026-03-22 00:18:51 [Test worker] [] WARN  c.e.a.e.GlobalExceptionHandler - Validation error: タイトルは必須です
2026-03-22 00:18:51 [Test worker] [] WARN  c.e.a.e.GlobalExceptionHandler - Resource not found: Task not found
2026-03-22 00:18:51 [Test worker] [] WARN  c.e.a.e.GlobalExceptionHandler - Resource not found: Task not found
2026-03-22 00:18:51 [Test worker] [] WARN  c.e.a.e.GlobalExceptionHandler - Resource not found: Task not found
2026-03-22 00:18:51 [Test worker] [] WARN  o.s.d.w.c.SpringDataJacksonConfiguration$PageModule$WarningLoggingModifier - Serializing PageImpl instances as-is is not supported, meaning that there is no guarantee about the stability of the resulting JSON structure!
	For a stable JSON structure, please use Spring Data's PagedModel (globally via @EnableSpringDataWebSupport(pageSerializationMode = VIA_DTO))
	or Spring HATEOAS and Spring Data's PagedResourcesAssembler as documented in https://docs.spring.io/spring-data/commons/reference/repositories/core-extensions.html#core.web.pageables.

2026-03-22 00:18:51 [Test worker] [] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.example.api_practice.repository.TaskRepositoryTest]: TaskRepositoryTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2026-03-22 00:18:52 [Test worker] [] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.example.api_practice.ApiPracticeApplication for test class com.example.api_practice.repository.TaskRepositoryTest
2026-03-22 00:18:52 [Test worker] [] INFO  c.e.a.repository.TaskRepositoryTest - Starting TaskRepositoryTest using Java 21.0.10 with PID 72836 (started by yugo in /Users/yugo/Desktop/api-practice)
